Number;BlockHash;Previous_BlockHash;Content_Hash;Nonce;TimeStamp
0;0000000000000000000000000000000000000000000000000000000000000000;0000000000000000000000000000000000000000000000000000000000000000;0000000000000000000000000000000000000000000000000000000000000000;0;0
1;5bac59ef3db30aca9073526d8b6d4c6604aee3cdbcdc8945b273e4524547eac4;0000000000000000000000000000000000000000000000000000000000000000;_ARQUIVO:_src/files/votos.csv_RESULTADO: |OP1:2|OP2:3|OP3:4|_7994dc6a989a1f5c77c44721db3e8bcc487e7fe7bf4d67dbc57cd1a679fceba5;87718;1731177112398
2;36c4f00d4c4cf24fa88c019e942138c33381b9a853507cf92a606b53f9ded567;5bac59ef3db30aca9073526d8b6d4c6604aee3cdbcdc8945b273e4524547eac4;_ARQUIVO:_src/files/votos2.csv_RESULTADO: |OP1:5|OP2:7|_f67275dba55e5e879db7fd26e5dd7a7fc40b573d72d9de034bac22923edd77f2;64552;173117711354312
3;e63281de180ef8e7d6868015182f6a47cada6e26bbc7cf133abf8ab8e7878776;36c4f00d4c4cf24fa88c019e942138c33381b9a853507cf92a606b53f9ded567;_ARQUIVO:_src/files/votos3.csv_RESULTADO: |OP1:1|OP2:4|OP3:3|OP4:2|_4f18577ea01c4abc2452d0bd1298fdffde758838ad1749e216271e45ccd25cf0;47651;1731187935912
4;25ea0b4f49dbcd90c7acf5d7ea72dcfe6e63a7680e668dfc696799d402e34bb2;e63281de180ef8e7d6868015182f6a47cada6e26bbc7cf133abf8ab8e7878776;_ARQUIVO:_src/files/votos4.csv_RESULTADO: |OP1:3|OP2:3|OP3:4|_d8afc3f19953c4d2aadd6a293f551c3fe176f7d196003f4288e6156a015c88a0;57998;1731188100596
5;18449a4a3cfecda859d87591e028908443e04903a323be1a378cfe728a1bd371;25ea0b4f49dbcd90c7acf5d7ea72dcfe6e63a7680e668dfc696799d402e34bb2;_ARQUIVO:_src/files/votos5.csv_RESULTADO: |OP1:3|OP2:3|OP3:4|_d8afc3f19953c4d2aadd6a293f551c3fe176f7d196003f4288e6156a015c88a0;45863;1731190945737
6;8b524c992658af03112a6c1bd9213ceeaf26f5521875231254d3d5c3a7b96fad;18449a4a3cfecda859d87591e028908443e04903a323be1a378cfe728a1bd371;_ARQUIVO:_src/files/votos6.csv_RESULTADO: |OP1:3|OP2:3|_5732cf49bc9a022431d4666b955d71ec81a249accd955d704e047c0e15d0d535;175590;1731190946417
7;a4cfd9370d132d70c6907b5fa7630d061956865b20e075b30aaed32bdd5ca20d;8b524c992658af03112a6c1bd9213ceeaf26f5521875231254d3d5c3a7b96fad;_ARQUIVO:_src/files/votos7.csv_RESULTADO: |OP1:3|OP2:3|_5732cf49bc9a022431d4666b955d71ec81a249accd955d704e047c0e15d0d535;16795;1731191282417
8;98805b4094db86f3de5aac5be562ba2223ef1ddc947b95c4da90e383be1fa588;a4cfd9370d132d70c6907b5fa7630d061956865b20e075b30aaed32bdd5ca20d;_ARQUIVO:_src/files/votos8.csv_RESULTADO: |OP1:3|OP2:3|_5732cf49bc9a022431d4666b955d71ec81a249accd955d704e047c0e15d0d535;112162;1731191282650
9;0a1cc299012d0406097b8eb8d878f09a422962d99015711102287dcbadeb8800;98805b4094db86f3de5aac5be562ba2223ef1ddc947b95c4da90e383be1fa588;_ARQUIVO:_src/files/votos9.csv_RESULTADO: |OP1:1|OP2:3|OP3:3|_f931362c16d2f6745e6886b769cec26f24d34f360b51767edc79407bc99fb5e2;65521;1731191284309
